baker,last_name,series,baker_age,baker_occupation,hometown,episode,technical,result,signature_bake,show_stopper
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",2,4,IN,Beehive Biscuits,Punting in Cambridge
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",3,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",4,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",5,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",6,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",7,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",8,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",9,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",10,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Annetha,Mills,1,30,Midwife,Essex,1,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
Annetha,Mills,1,30,Midwife,Essex,2,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Antony,Amourdoux,9,30,Banker,London,1,12,IN,NA,NA
Antony,Amourdoux,9,30,Banker,London,2,9,IN,NA,NA
Antony,Amourdoux,9,30,Banker,London,3,8,OUT,NA,NA
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",7,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",9,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Ben,Frazer,2,31,Graphic Designer,Northampton,1,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ben,Frazer,2,31,Graphic Designer,Northampton,2,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Ben,Frazer,2,31,Graphic Designer,Northampton,3,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
Ben,Frazer,2,31,Graphic Designer,Northampton,4,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Benjamina,Ebuehi,7,23,Teaching assistant,South London,1,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
Benjamina,Ebuehi,7,23,Teaching assistant,South London,2,3,IN,Bouquet Biscuits,"New York, New York"
Benjamina,Ebuehi,7,23,Teaching assistant,South London,3,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
Benjamina,Ebuehi,7,23,Teaching assistant,South London,4,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
Benjamina,Ebuehi,7,23,Teaching assistant,South London,5,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
Benjamina,Ebuehi,7,23,Teaching assistant,South London,6,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
Benjamina,Ebuehi,7,23,Teaching assistant,South London,7,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Benjamina,Ebuehi,7,23,Teaching assistant,South London,8,4,OUT,Mexican Adventure,Tudor Garden
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,1,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,2,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,3,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,4,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,5,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,6,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,7,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,8,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,9,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
Brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,10,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
Briony,Williams,9,33,Full-time parent,Bristol,1,2,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,2,5,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,3,9,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,4,5,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,5,6,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,6,1,STAR BAKER,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,7,5,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,8,1,IN,NA,NA
Briony,Williams,9,33,Full-time parent,Bristol,9,3,OUT,NA,NA
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",1,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",4,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",6,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",8,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",9,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
Candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",10,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",1,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",2,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",3,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",4,3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",5,1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",6,3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",7,5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
Cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",8,5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",1,3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",2,8,IN,Fenugreek and Carom Crackers,Day On The Beach
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",3,8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",4,3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",5,2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",6,2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",7,6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",8,1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
Chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",9,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
Chris,Geiger,8,50,Software developer,Bristol,1,12,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
Chris,Geiger,8,50,Software developer,Bristol,2,11,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",1,3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",2,4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",3,4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",4,7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",5,1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",6,4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",7,6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
Christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",8,5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
Yan,Tsou,8,46,Laboratory research scientist,North London,1,4,IN,Windfall Apple Crumble Cake,'Banana-ramen' Cake
Yan,Tsou,8,46,Laboratory research scientist,North London,2,1,IN,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
Yan,Tsou,8,46,Laboratory research scientist,North London,3,8,IN,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
Yan,Tsou,8,46,Laboratory research scientist,North London,4,8,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
Yan,Tsou,8,46,Laboratory research scientist,North London,5,6,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
Yan,Tsou,8,46,Laboratory research scientist,North London,6,1,IN,'πr2' Decorative Pies,Chequerboard Pie
Yan,Tsou,8,46,Laboratory research scientist,North London,7,5,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle
Claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",1,8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
Dan,Beasley-Harling,9,36,Full-time parent,London,1,4,IN,NA,NA
Dan,Beasley-Harling,9,36,Full-time parent,London,2,3,IN,NA,NA
Dan,Beasley-Harling,9,36,Full-time parent,London,3,6,IN,NA,NA
Dan,Beasley-Harling,9,36,Full-time parent,London,4,1,STAR BAKER,NA,NA
Dan,Beasley-Harling,9,36,Full-time parent,London,5,2,IN,NA,NA
Dan,Beasley-Harling,9,36,Full-time parent,London,6,6,OUT,NA,NA
Dan,Chambers,10,32,Support worker,Rotherham,1,9,OUT,NA,NA
Danny,Bryden,3,45,Intensive care consultant,Sheffield,1,7,IN,"Plum, Ginger & Orange",UNKNOWN
Danny,Bryden,3,45,Intensive care consultant,Sheffield,2,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
Danny,Bryden,3,45,Intensive care consultant,Sheffield,3,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
Danny,Bryden,3,45,Intensive care consultant,Sheffield,4,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
Danny,Bryden,3,45,Intensive care consultant,Sheffield,5,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
Danny,Bryden,3,45,Intensive care consultant,Sheffield,6,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
Danny,Bryden,3,45,Intensive care consultant,Sheffield,7,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath
Danny,Bryden,3,45,Intensive care consultant,Sheffield,8,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben
Danny,Bryden,3,45,Intensive care consultant,Sheffield,9,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
David,Atherton,10,36,International health adviser,Whitby,1,10,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,2,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,3,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,4,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,5,9,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,6,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,7,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,8,1,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,9,2,IN,NA,NA
David,Atherton,10,36,International health adviser,Whitby,10,1,WINNER,NA,NA
David,Chambers,1,31,Entrepreneur,Milton Keynes,1,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
David,Chambers,1,31,Entrepreneur,Milton Keynes,2,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
David,Chambers,1,31,Entrepreneur,Milton Keynes,3,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
David,Chambers,1,31,Entrepreneur,Milton Keynes,4,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
Deborah,Manger,4,51,Dentist,Peterborough,1,9,IN,Pineapple Cake,'Coffee Time'
Deborah,Manger,4,51,Dentist,Peterborough,2,8,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
Deborah,Manger,4,51,Dentist,Peterborough,3,9,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",1,5,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",2,7,IN,Parmesan Triangles,"Express, First Class"
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",3,7,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",4,9,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,NA,WD,NA,NA
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",6,NA,IN,NA,NA
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7,NA,IN,NA,NA
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",8,NA,IN,NA,NA
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",9,NA,IN,NA,NA
Diana,Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire",10,NA,IN,NA,NA
Dorret,Conway,6,53,Accountant,"Penwortham, Lancashire",1,5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
Dorret,Conway,6,53,Accountant,"Penwortham, Lancashire",2,1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
Dorret,Conway,6,53,Accountant,"Penwortham, Lancashire",3,6,OUT,Walnut and Stilton Soda Breads,Unmade Bread
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,1,1,IN,Caramel Cinnamon and Banana Cake,N/A
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,2,6,IN,Oatmeal Raisin Cookie,Pink Macarons
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,3,1,IN,Olive Bread,Tomato and Mozzarella
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,4,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,5,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
Edd,Kimber,1,24,Debt collector for Yorkshire Bank,Bradford,6,NA,WINNER,Cinnamon and Banana Cake,NA
Enwezor,Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire",1,9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
Enwezor,Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire",2,9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
Flo,Atkins,8,71,Retired,Merseyside,1,9,IN,Citrus Layer Cake,'One in a Melon' Cake
Flo,Atkins,8,71,Retired,Merseyside,2,10,IN,Gin Jam Butties,'Pick My Bones' Game
Flo,Atkins,8,71,Retired,Merseyside,3,7,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",1,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,2,IN,Fig and Hazelnut Rye Breads,Herb Couture
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",4,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",5,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",7,4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",8,3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",9,1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1,7,IN,Giant Jam Sandwich,Secret Squirrel Cake
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,2,IN,Giant Matchsticks,Sailor's Knot
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",6,2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
